,Adam Thielen,Mike Evans,JuJu Smith-Schuster,Albert Wilson,Odell Beckham Jr.,Jarvis Landry,Courtland Sutton,Mohamed Sanu,Emmanuel Sanders,Tyler Boyd,Amari Cooper,Robert Woods,Michael Thomas,Marvin Jones,Anthony Miller,John Brown,Tyreek Hill,Julio Jones,Tre'Quan Smith,DeAndre Hopkins,Tyrell Williams,Dante Pettis,DeSean Jackson,Cooper Kupp,Alshon Jeffery,Julian Edelman,Josh Gordon,Donte Moncrief,Stefon Diggs,Brandin Cooks,Sammy Watkins,Sterling Shepard,Christian Kirk,Calvin Ridley,Larry Fitzgerald,Corey Davis,Curtis Samuel,Robby Anderson,Allen Robinson,DaeSean Hamilton,Davante Adams,Dede Westbrook,Marquez Valdes-Scantling,Will Fuller,T.Y. Hilton,Geronimo Allison,Cole Beasley,Michael Gallup,Chris Godwin,Tyler Lockett,Jamison Crowder,Keenan Allen,D.J. Moore,Mike Williams,Kenny Golladay
Rank1,10,5,7,52,3,40,47,56,44,18,12,17,2,28,48,45,8,6,53,1,37,32,38,23,22,16,29,46,20,14,31,34,35,30,41,39,33,36,24,69,4,26,49,25,21,43,67,42,13,11,50,9,19,27,15
Rank2,9,4,8,52,2,34,40,56,46,19,14,17,3,26,51,44,7,6,55,1,37,32,39,18,25,13,23,48,29,12,33,30,35,31,42,41,38,36,24,64,5,22,47,28,20,49,57,43,16,11,50,10,21,27,15
Rank3,9,4,8,52,2,34,40,56,45,18,14,17,3,25,50,44,7,5,53,1,33,32,39,20,28,13,24,48,19,12,35,30,38,31,42,41,36,37,21,66,6,22,47,29,23,49,61,43,16,11,51,10,26,27,15
Rank4,9,7,6,52,5,32,43,55,42,16,14,18,2,25,60,47,8,4,54,1,37,33,39,19,24,13,23,46,21,12,31,29,34,30,41,40,35,36,22,64,3,28,48,38,20,50,65,45,15,11,49,10,26,27,17
Rank5,9,4,8,53,2,34,45,56,42,18,13,17,3,28,50,44,7,6,55,1,38,32,39,20,25,14,23,49,19,12,33,31,37,30,41,40,35,36,26,67,5,27,47,29,22,46,60,43,16,11,51,10,21,24,15
Rank6,8,1,6,52,2,32,43,57,42,21,12,17,3,28,47,45,7,11,53,4,39,31,38,18,22,16,24,50,19,13,35,33,37,30,41,40,34,36,20,65,5,29,49,27,23,44,60,46,14,9,51,10,26,25,15
Rank7,4,7,9,59,1,31,43,56,42,17,16,20,5,23,39,49,8,10,70,3,41,37,44,14,21,12,32,54,19,18,47,26,48,29,30,34,35,40,22,85,2,33,46,28,27,36,77,38,13,15,51,6,25,24,11
Rank8,9,4,6,52,5,35,45,55,50,20,12,17,2,28,49,41,7,8,53,1,40,30,38,18,21,16,24,48,22,13,37,31,36,32,42,39,33,34,19,69,3,29,46,25,23,44,81,43,15,11,51,10,26,27,14
Rank9,8,4,6,53,2,33,43,55,48,19,17,18,3,25,45,44,7,10,52,1,34,35,37,20,21,16,23,49,13,12,42,36,41,24,40,38,32,28,27,65,5,29,50,30,22,47,63,39,15,11,51,9,26,31,14
Rank10,12,4,8,55,2,34,40,56,49,21,9,18,3,26,46,44,7,5,54,1,39,35,32,27,20,15,17,50,19,13,36,29,38,31,42,41,33,37,25,66,6,30,47,23,24,43,51,45,14,11,53,10,22,28,16
